"DBKEY","STATION","GROUP","SITE","DATA.TYPE","FREQ","STAT","RECORDER","AGENCY","SENSOR","START.DATE","END.DATE","STRATA","OPNUM","COUNTY","LATITUDE","LONGITUDE","X.COORD","Y.COORD","BASIN","STRUCT","SEC","TWP","RNG"
"01313","S12A_S","S12A","S12A","FLOW","DA","MEAN","????","USGS",NA,"01-OCT-1963","30-OCT-2024",0,NA,"DAD",254542.443,804915.973,715044.674,519154.119,"CA3A","SPIL",22,54,35
"00610","S12B_S","S12B","S12B","FLOW","DA","MEAN","????","USGS",NA,"01-OCT-1963","30-OCT-2024",0,NA,"DAD",254542.85,804610.169,732030.852,519221.602,"ENP","SPIL",19,54,36
"00621","S12C_S","S12C","S12C","FLOW","DA","MEAN","????","USGS",NA,"01-OCT-1963","30-OCT-2024",0,NA,"DAD",254543.073,804336.908,746041.94,519270.872,"CA3A","SPIL",22,54,36
"01310","S12D_S","S12D","S12D","FLOW","DA","MEAN","????","USGS",NA,"01-OCT-1963","30-OCT-2024",0,NA,"DAD",254543.186,804054.483,760890.801,519315.546,"ENP","SPIL",13,54,36
"40371","S333N_S","S333N_S","S333N","FLOW","DA","MEAN","DRV","WMD",NA,"14-NOV-2020","30-OCT-2024",0,NA,"DAD",254545,804025.5,763539.989,519505.171,"CA3B","SPIL",NA,NA,NA
"15042","S333_S","S333","S333","FLOW","DA","MEAN","PREF","WMD",NA,"01-AUG-1978","30-SEP-2024",0,NA,"DAD",254543.183,804026.224,763474.214,519321.577,"CA3A","SPIL",6,54,37
"FB752","S334_S","S334","S334","FLOW","DA","MEAN","PREF","WMD",NA,"12-OCT-1978","30-SEP-2024",0,NA,"DAD",254540.776,803008.562,819942.408,519254.951,"ENP","SPIL",2,54,38
"91489","S335_S","S335","S335","FLOW","DA","MEAN","DRV","WMD",NA,"02-DEC-1983","30-OCT-2024",0,NA,"DAD",254633.432,802858.913,826289.029,524595.56,"L-30 CC","SPIL",6,54,39
"MQ895","S355A_S","S355A_S","S355A","FLOW","DA","MEAN",NA,"USGS",NA,"01-JUL-1999","13-MAR-2016",0,NA,"DAD",254542.135,803527.933,790744.487,519291.805,"CA3B","SPIL",11,54,37
"AM173","S355B_P","S355B_P","S355B","FLOW","DA","MEAN","DRV","WMD",NA,"29-FEB-2016","17-OCT-2018",0,NA,"DAD",254541.964,803312.319,803142.56,519314.736,"CA3B","PUMP",8,54,38
"MQ896","S355B_S","S355B_S","S355B","FLOW","DA","MEAN",NA,"USGS",NA,"01-JUL-1999","13-MAR-2016",0,NA,"DAD",254541.964,803312.319,803142.56,519314.736,"CA3B","SPIL",8,54,38
"64136","S356_P","S356_P","S356","FLOW","DA","MEAN","DRV","WMD",NA,"13-AUG-2015","30-OCT-2024",0,NA,"DAD",254541.417,803007.872,820003.51,519318.832,"ENP","PUMP",NA,NA,NA
