"Date","S77","S79","S308","S80","S354","S351","S352","STA1W.out","STA2.out","STA34.out"
2024-02-17,7.6919,9.9848,4.3597,5.1729,0.4891,0,0.1171,0.152,0.2787,0.1748
2024-02-18,9.7666,13.6879,6.8926,7.797,0.0164,0,0.1229,0.36,0.3413,0.3903
2024-02-19,9.6,14.6241,6.9917,7.7812,0,0,0.1207,0.3597,1.5386,1.208
2024-02-20,9.9967,14.6321,6.8628,7.7375,0,0,0.1195,0.3596,3.2189,1.7088
2024-02-21,10.5441,14.3068,6.6724,6.6446,0,0,0.1207,0.3592,3.6531,1.2588
2024-02-22,10.7345,12.2579,6.6942,7.5094,0,0,0.1154,0.3582,2.5311,0.594
2024-02-23,10.3061,12.6486,7.1445,7.438,0.9192,0,0.1155,0.3571,1.6143,0.5158
2024-02-24,9.7666,13.3567,7.0969,7.5074,1.9929,0,0.1169,0.357,1.3758,0.2752
2024-02-25,8.8264,11.3653,6.9342,7.4975,1.6041,0,0.1149,0.356,1.4114,0.2619
2024-02-26,7.9993,10.0919,6.1964,5.5279,2.3608,0,0.1117,0.3547,1.503,0.7199
2024-02-27,7.7455,9.6516,1.6899,1.4043,2.62,0,0.111,0.2468,1.9373,0.7494
2024-02-28,2.8423,3.9907,0,0,2.5627,0,0.1107,0.1934,1.6743,0.9132
2024-02-29,0.484,0,0,0,1.4337,0,0.1116,0.0811,1.7539,0.9657
2024-03-01,0.2479,0.3293,0,0,1.5562,0,0.1118,0,1.7653,0.9375
2024-03-02,6.7081,8.4932,3.4691,2.761,1.3396,0,0.1132,0,1.7475,0.9335
2024-03-03,9.9332,13.6721,5.161,4.9904,1.5252,0,0.1127,0.1862,1.7601,0.7901
2024-03-04,9.9253,14.402,5.7283,5.1709,1.1632,0,0.1114,1.1213,1.7537,1.1537
2024-03-05,9.6159,13.6959,6.3471,5.6846,1.1983,0,0.11,0.4846,1.7383,1.0507
2024-03-06,9.5603,15.4651,6.476,6.1388,0.2786,0,0.1134,0.4537,1.7512,1.1846
2024-03-07,9.8856,14.2988,6.7041,6.8866,0.851,0,0.1202,0.7056,1.7433,1.363
2024-03-08,10.0681,13.8764,6.3154,5.6509,1.0167,0,0.1163,0.3373,1.6652,1.3827
2024-03-09,10.0046,13.3686,5.0638,4.6671,0.6143,0,0.1151,0.2692,1.3788,1.0397
2024-03-10,9.9332,13.083,3.5246,3.4651,0.6443,0,0.1171,0.2605,0.7745,1.0126
2024-03-11,9.9332,12.8251,2.7808,2.3246,0.996,0.9353,0.3947,0.3174,0.8589,1.1136
2024-03-12,NA,NA,NA,NA,0,0,0,0,0,0
